# Design Points of Design of Experiments
# Custom
# ,P1 - Young's Modulus Y direction (Pa) ,P3 - foundation stiffnez,P10 - bearings,P4 - Total Deformation Reported Frequency (Hz) ,P5 - Total Deformation 2 Reported Frequency (Hz) ,P6 - Total Deformation 3 Reported Frequency (Hz) ,P7 - Total Deformation 4 Reported Frequency (Hz) ,P8 - Total Deformation 5 Reported Frequency (Hz) ,P9 - Total Deformation 6 Reported Frequency (Hz) 
Name,P1,P3,P10,P4,P5,P6,P7,P8,P9
98,175195312.5,737304687.5,524609375,0,52.352698672399555,64.598445137451336,83.771986012513622,100.31241880687989,111.13465185265028
99,175195312.5,813476562.5,651171875,0,52.589049414847352,66.914107810241475,86.422235695310832,103.31139425231959,114.26475691662819
100,254101562.5,813476562.5,524609375,0,52.588900825036163,66.53180830742177,84.890257838418862,103.2706474264927,111.84490898301686
101,150195312.5,862304687.5,401171875,0,52.715958173152671,66.951929852161385,82.996861830917553,104.97931291953736,108.81843215013798
102,279101562.5,862304687.5,401171875,0,52.715994673508014,66.962335887706857,83.03308957559932,104.97960344849497,108.86981875109477
103,150195312.5,862304687.5,574609375,0,52.716285967188618,67.835632318288489,86.178561485392322,105.07116303313612,113.2789712748127
104,150195312.5,688476562.5,401171875,0,52.17018530901268,62.72969543493921,80.816667283041284,98.234036225761685,107.09286284657902
105,279101562.5,688476562.5,574609375,0,52.170650936601511,63.3762043714763,83.581276275613291,98.30499026267637,111.85972671561355
106,250195312.5,1362304687.5,601171875,0,53.462617866126443,76.111152750364141,90.4071661592315,117.73509899714419,119.49738011587102
107,179101562.5,1362304687.5,601171875,0,53.462596325437,76.1012976805875,90.379766337752713,117.70383263257675,119.49714697179598
108,250195312.5,1362304687.5,774609375,0,53.462717530158763,76.857283392040173,92.501303855241048,119.56643407878349,120.00087547596043
109,250195312.5,1188476562.5,601171875,0,53.279548109571685,73.845243185617974,89.449421281359221,115.14620204117573,116.43023184451957
110,179101562.5,1188476562.5,774609375,0,53.279640557085237,74.470614733880637,91.401858360078364,115.20714107886502,118.7717042086301
111,200195312.5,612304687.5,501171875,0,51.820698408555486,60.804442394999967,81.112465710189525,94.905537960732744,109.42824303155857
112,229101562.5,612304687.5,501171875,0,51.820707396899657,60.805807905658284,81.119056952111649,94.905588190693877,109.44233448302376
113,200195312.5,612304687.5,674609375,0,51.821036848035533,61.15966994410072,82.817574267364378,94.9466044381298,112.99111412829897
114,200195312.5,1438476562.5,501171875,0,53.527958002239366,76.233411701598257,88.91704736853228,116.49975574691342,121.16217983383528
115,229101562.5,1438476562.5,674609375,0,53.528097530242121,77.350330128285989,91.766044631029416,119.32413418564319,121.26853841826096
116,100195312.5,1112304687.5,701171875,0,53.179945791503641,73.044372908266737,90.089857528931176,113.07954891941368,117.28399604134115
117,129101562.5,1112304687.5,701171875,0,53.179930919203514,73.047058866338475,90.099486129642415,113.07935060061359,117.29767261324507
118,100195312.5,1112304687.5,474609375,0,53.179722195301842,71.9525938473436,86.69383366046489,112.971079845432,113.19894848563807
119,100195312.5,938476562.5,701171875,0,52.8862302955121,69.84489303176484,88.468465096787,107.73032540722896,115.97231119572506
120,129101562.5,938476562.5,474609375,0,52.885946661869845,68.973930082379141,85.363249527188927,107.6414844833759,111.67769612218224
121,100292968.75,947753906.25,550585937.5,0,52.904724923978208,69.534420785462387,86.753699012993479,107.98649877445077,113.48997648886079
122,197363281.25,947753906.25,550585937.5,0,52.904714140223511,69.542423820569283,86.783349419430664,107.98635339709264,113.53412453452076
123,100292968.75,947753906.25,622851562.5,0,52.904807241410559,69.807097704189218,87.727798906607092,108.01410555905609,114.83703625550291
124,100292968.75,1344238281.25,550585937.5,0,53.445890499204253,75.56994476406372,89.438685147958012,116.67847055244378,119.0421691027193
125,197363281.25,1344238281.25,622851562.5,0,53.4459360731006,76.0056141243904,90.616790681842588,117.9153365762876,119.08249682845539
126,200292968.75,1447753906.25,750585937.5,0,53.535598129821985,77.768291066499245,92.665593403054061,120.28311848730489,121.50359429423564
